Subject,Session,Run,State,Fractional occupancy (%),Dwell time (s)
8,LSD,1,2,23.04147465437788,4.3478260869565215
8,LSD,1,3,24.42396313364055,7.066666666666666
8,LSD,1,4,29.03225806451613,6.0
9,LSD,1,1,23.502304147465438,8.5
9,LSD,1,2,23.963133640552993,5.777777777777778
9,LSD,1,3,22.119815668202765,8.0
9,LSD,1,4,30.414746543778804,7.764705882352941
10,LSD,1,1,21.19815668202765,6.133333333333334
10,LSD,1,2,29.493087557603687,6.095238095238095
10,LSD,1,3,21.19815668202765,7.076923076923077
10,LSD,1,4,28.110599078341014,6.421052631578948
11,LSD,1,1,28.110599078341014,10.166666666666666
11,LSD,1,2,18.433179723502306,6.153846153846154
11,LSD,1,3,28.110599078341014,8.714285714285714
11,LSD,1,4,25.34562211981567,5.0
12,LSD,1,1,15.207373271889402,5.5
12,LSD,1,2,37.78801843317972,7.809523809523809
12,LSD,1,3,16.589861751152075,7.2
12,LSD,1,4,30.414746543778804,6.6
13,LSD,1,1,22.58064516129032,6.125
13,LSD,1,2,26.72811059907834,5.2727272727272725
13,LSD,1,3,18.89400921658986,6.3076923076923075
13,LSD,1,4,31.797235023041477,6.571428571428571
14,LSD,1,1,29.493087557603687,7.111111111111111
14,LSD,1,2,25.34562211981567,5.7894736842105265
14,LSD,1,3,22.58064516129032,7.538461538461538
14,LSD,1,4,22.58064516129032,5.764705882352941
0,PLCB,2,1,24.42396313364055,6.625
0,PLCB,2,2,30.87557603686636,6.7
0,PLCB,2,3,20.276497695852534,6.769230769230769
0,PLCB,2,4,24.42396313364055,5.578947368421052
1,PLCB,2,1,21.19815668202765,7.666666666666667
1,PLCB,2,2,31.336405529953915,8.0
1,PLCB,2,3,18.433179723502306,6.666666666666667
1,PLCB,2,4,29.03225806451613,6.631578947368421
2,PLCB,2,1,24.88479262672811,6.352941176470588
2,PLCB,2,2,26.26728110599078,5.428571428571429
2,PLCB,2,3,22.58064516129032,5.764705882352941
2,PLCB,2,4,26.26728110599078,6.333333333333333
3,PLCB,2,1,26.72811059907834,8.285714285714286
3,PLCB,2,2,20.737327188940093,5.625
3,PLCB,2,3,24.88479262672811,8.307692307692308
3,PLCB,2,4,27.64976958525346,7.5
4,PLCB,2,1,17.972350230414747,7.090909090909091
4,PLCB,2,2,32.71889400921659,6.761904761904762
4,PLCB,2,3,19.35483870967742,6.461538461538462
4,PLCB,2,4,29.953917050691242,7.222222222222222
5,PLCB,2,1,22.119815668202765,6.857142857142857
5,PLCB,2,2,27.64976958525346,6.666666666666667
5,PLCB,2,3,23.04147465437788,6.666666666666667
5,PLCB,2,4,27.188940092165897,6.2105263157894735
6,PLCB,2,1,20.737327188940093,6.923076923076923
6,PLCB,2,2,28.57142857142857,5.636363636363637
6,PLCB,2,3,15.207373271889402,4.714285714285714
6,PLCB,2,4,35.483870967741936,10.266666666666667
7,PLCB,2,1,20.737327188940093,6.0
7,PLCB,2,2,30.414746543778804,6.947368421052632
7,PLCB,2,3,18.433179723502306,6.153846153846154
7,PLCB,2,4,30.414746543778804,6.947368421052632
8,PLCB,2,1,20.276497695852534,5.866666666666666
8,PLCB,2,2,36.86635944700461,8.0
8,PLCB,2,3,17.51152073732719,6.333333333333333
8,PLCB,2,4,25.34562211981567,7.857142857142857
9,PLCB,2,1,20.737327188940093,6.0
9,PLCB,2,2,30.414746543778804,7.764705882352941
9,PLCB,2,3,17.050691244239633,6.7272727272727275
9,PLCB,2,4,31.797235023041477,8.117647058823529
10,PLCB,2,1,22.58064516129032,8.909090909090908
10,PLCB,2,2,23.963133640552993,6.933333333333334
10,PLCB,2,3,26.26728110599078,8.76923076923077
10,PLCB,2,4,27.188940092165897,6.555555555555555
11,PLCB,2,1,21.19815668202765,6.571428571428571
11,PLCB,2,2,33.17972350230415,7.578947368421052
11,PLCB,2,3,20.737327188940093,5.625
11,PLCB,2,4,24.88479262672811,4.695652173913044
0,LSD,2,1,23.04147465437788,10.0
0,LSD,2,2,28.57142857142857,6.888888888888889
0,LSD,2,3,21.658986175115206,7.230769230769231
0,LSD,2,4,26.72811059907834,5.8
1,LSD,2,1,24.88479262672811,7.714285714285714
1,LSD,2,2,23.963133640552993,5.473684210526316
1,LSD,2,3,26.26728110599078,7.6
1,LSD,2,4,24.88479262672811,5.684210526315789
2,LSD,2,1,23.963133640552993,6.117647058823529
2,LSD,2,2,26.26728110599078,5.428571428571429
2,LSD,2,3,20.276497695852534,6.769230769230769
2,LSD,2,4,29.493087557603687,6.095238095238095
3,LSD,2,1,17.972350230414747,5.571428571428571
3,LSD,2,2,28.110599078341014,5.545454545454546
3,LSD,2,3,21.19815668202765,6.571428571428571
3,LSD,2,4,32.71889400921659,6.454545454545454
4,LSD,2,1,26.72811059907834,5.8
4,LSD,2,2,23.502304147465438,4.25
4,LSD,2,3,23.04147465437788,5.882352941176471
4,LSD,2,4,26.72811059907834,5.523809523809524
5,LSD,2,1,23.502304147465438,6.375
5,LSD,2,2,24.88479262672811,5.142857142857143
5,LSD,2,3,25.34562211981567,7.857142857142857
5,LSD,2,4,26.26728110599078,5.428571428571429
6,LSD,2,1,18.89400921658986,6.3076923076923075
6,LSD,2,2,27.188940092165897,6.555555555555555
6,LSD,2,3,19.81566820276498,6.615384615384615
6,LSD,2,4,34.10138248847927,7.0476190476190474
7,LSD,2,1,18.433179723502306,6.153846153846154
7,LSD,2,2,32.71889400921659,7.888888888888889
7,LSD,2,3,17.51152073732719,5.428571428571429
7,LSD,2,4,31.336405529953915,8.0
8,LSD,2,1,25.806451612903224,8.615384615384615
8,LSD,2,2,26.26728110599078,6.0
8,LSD,2,3,25.34562211981567,7.857142857142857
8,LSD,2,4,22.58064516129032,6.533333333333333
9,LSD,2,1,17.972350230414747,6.0
9,LSD,2,2,37.327188940092164,8.1
9,LSD,2,3,19.81566820276498,5.733333333333333
9,LSD,2,4,24.88479262672811,5.684210526315789
10,LSD,2,1,23.963133640552993,6.5
10,LSD,2,2,26.26728110599078,7.125
10,LSD,2,3,20.737327188940093,7.5
10,LSD,2,4,29.03225806451613,6.631578947368421
